University,Country,Ranking
Harvard University,United States,1
Stanford University,United States,2
Princeton University,United States,3
Columbia University,United States,4
London School of Economics and Political Science,United Kingdom,5
European University Institute,Italy,6
New York University,United States,7
"University of California, Berkeley",United States,8
University of Oxford,United Kingdom,9
Pennsylvania State University - University Park,United States,10
University of Konstanz,Germany,11
"University of California, San Diego",United States,12
"University of California, Los Angeles",United States,13
The Australian National University,Australia,14
University of Michigan-Ann Arbor,United States,15
University of Pennsylvania,United States,16
Cornell University,United States,17
University of Toronto,Canada,18
Yale University,United States,19
The George Washington University,United States,20
University of North Carolina at Chapel Hill,United States,21
Aarhus University,Denmark,22
New York University Abu Dhabi,United Arab Emirates,23
The Ohio State University - Columbus,United States,24
University of Chicago,United States,25
Georgetown University,United States,26
University of Amsterdam,Netherlands,27
Central European University,Austria,28
University College London,United Kingdom,29
King's College London,United Kingdom,30
ETH Zurich,Switzerland,31
The University of Melbourne,Australia,32
University of Gothenburg,Sweden,32
University of Oslo,Norway,34
University of Mannheim,Germany,35
University of Zurich,Switzerland,36
Massachusetts Institute of Technology (MIT),United States,37
Vanderbilt University,United States,38
Leiden University,Netherlands,39
University of South Carolina - Columbia,United States,40
Dartmouth College,United States,41
Northwestern University,United States,42
University of Copenhagen,Denmark,43
University of Essex,United Kingdom,44
Duke University,United States,45
Johns Hopkins University,United States,46
Emory University,United States,47
The University of Manchester,United Kingdom,48
University of Vienna,Austria,49
University of Wisconsin - Madison,United States,49
Bocconi University,Italy,51-75
Brigham Young University,United States,51-75
Durham University,United Kingdom,51-75
Leuphana University Luneburg,Germany,51-75
Michigan State University,United States,51-75
Pompeu Fabra University,Spain,51-75
Stockholm University,Sweden,51-75
Texas A&M University,United States,51-75
The University of Edinburgh,United Kingdom,51-75
The University of Georgia,United States,51-75
The University of Glasgow,United Kingdom,51-75
The University of Texas at Austin,United States,51-75
University of Antwerp,Belgium,51-75
University of Barcelona,Spain,51-75
University of British Columbia,Canada,51-75
"University of California, Davis",United States,51-75
"University of California, Irvine",United States,51-75
University of Cambridge,United Kingdom,51-75
University of Geneva,Switzerland,51-75
University of Munich,Germany,51-75
University of Ottawa,Canada,51-75
University of Virginia,United States,51-75
